Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
105,Elijah Jacks (JAC),S76561198359067693,Lamborghini Huracan Evo 2019,01:35.805000,00:32.605000,00:31.600000,00:31.600000
106,Steven Lobser (CSL),S76561198118083051,Ferrari 488 GT3 Evo,01:35.845000,00:32.627000,00:32.012000,00:31.205000
107,Philip Menzies (PAM),S76561198050136281,McLaren 720S GT3 Special,01:36.170000,00:33.037000,00:31.772000,00:31.360000
108,Durban Legacy (PLY),S76561198398671653,Nissan GT-R Nismo GT3 2018,59:59.999000,00:00.000000,00:00.000000,00:00.000000
109,David Lee (DHL),S76561198125404990,Bentley Continental GT3 2018,59:59.999000,00:00.000000,00:00.000000,00:00.000000
110,Jeremy Reeder (PLY),S76561198102245439,Audi R8 LMS Evo 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
111,Christopher Becco (BEC),S76561198068194789,Ferrari 488 GT3 Evo,59:59.999000,00:00.000000,00:00.000000,00:00.000000
112,Jess Osborn (PLY),S76561198003735430,BMW M4 GT3 2022,59:59.999000,00:00.000000,00:00.000000,00:00.000000
113,Andrew Anderson (AND),S76561197993271559,BMW M4 GT3 2022,59:59.999000,00:00.000000,00:00.000000,00:00.000000
114,Damien Martinez (DMZ),S76561197983895922,Ferrari 488 GT3 Evo,59:59.999000,00:00.000000,00:00.000000,00:00.000000
115,Dave Cours (DPC),S76561198257074341,Aston Martin Vantage V8 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
116,Loukas Klentzeris (PLY),S76561198070567648,McLaren 720S GT3 Special,59:59.999000,00:00.000000,00:00.000000,00:00.000000
117,Stephen Sarver (SAR),S76561198102177223,Audi R8 LMS Evo II 2022,59:59.999000,00:00.000000,00:00.000000,00:00.000000
Last updated?2022-06-08T03:46:59+0000
